Job Title,Job Company,Job Location,Job Date,Job Source,Job Link
Administrativo / A Logistica Junior,Gi Group,"Barcelona, Barcelona provincia, Spain",3 days ago,,http://www.jobsinbarcelona.es/jobs/remote/aHR0cDovL3d3dy5pbmRlZWQuZXMvcGFnZWFkL2Nsaz9tbz1yJmFkPS02TllsYmZrTjBBdzFlZkFNemxkRHpwb0lKdDNkaC1XczQzUzMwZHJYUTZqRlFxa0lpc191NlJ2Z0tHRUZyNkdFUjhqRVZ6WWJHQVdxZl9LcDVnTnEyTFRKTmRwd01RR2hmdjNCTXBaNDZkbUc4QkRSQk5UOUt1Q0lZOHpkMllUX21xNnI4MmMtR29tYjF3dmZ4bWg5MkdhSWRjZURoYkhWYVFJd0pVMXViWV9xT0R4RVBGdzZJRkQyVWlrNDZPZm5qbzdpdjZUZ0JTVmNpZmlXRUZWVDZwVG5GRU9NT0VsVmxQMmg3bjg0RzVIR3hfRjdBN0ZUMkV4cWwtdTVvQWhzUWhzckR1ZnY0c0VUaDR1MnRtWFFSWndIR1BfUEJ5enJHQjRrTmFYSC1UdnRBMFhPWlBZcVMxWHdJclRFUjlvMm9rODROXzQxNjNzVlpoR3BYNnF4QTZSd20tdlliUnl3NFNnck1WX0toQ294UE16X2Itd29qVURlMUFheUhwZG1fZHV4Z0RHdzBIRGNNREZhR1VNRFc2T1l0aGg1cmFrdVpuSkRCaGdOejhGaHE1b21KZF9iREowbUExRXBncXdnTGhxcU52RUx2dThHc25jSFhsVVZBTHpWeHdJUGd1UEVUelAwelJmal9vV21maGhTUHAwdVVNLTh0UHRQVzVJdGxfV3BWTEp5eFNiYWg4RGplOUVvYXlVZU44dkRqQlE1Ukw5VmdScXdid1E2enFhbTlTeUJYVWdqN2FCOTZLQkdrbXI2U0RnaFlSYU91a2NyUUhGcUR4emp4bDVlenpIdGZYRkMtT3I3dEItbDE5aUg4aVp0T0ROampiX0ZpTHBOZ0tGNmlFN1gxX1RGTGpXUHdHc3dpNDZTYUFCdGlpSmplOWJGRWFLYTg2TTZpd3F1d1pyT0E1M3UwSUF2bFQ5Nm1BOV9jajYxNXJnSW5GVXBPSUlUaWN5c0Jtd0pMRm9BVlFOcExaTGlCTXhiSFRiZzVfOWZ2WEotbHE1aGRvd1RKaUpsODJwWVFCVVE1MkxDWEdXRDdheHNCLVk1WDQxVU5Ldm5nRFh5LXJtQ3hkOVVDR0VXWFhIR2N6VFhCQWlsSzgyWlU1NDluLVIwTDV4Um1YUWR5Njk1SWpjTk55SWRrVEJVWGVncDJiSDF3WVNYNlo3QTRGZmhmTHVWTDUwZjM2cUtIRVFoa1FsQlZ2ODVqU0Zwdz09JnA9MCZyanM9MSZhdGs9MWNyZGg1MjhjMGwyczAwMSZqc2E9NzAwNCZpbmNoYWw9YXBpcmVzdWx0cyZ0aXRsZT1BZG1pbmlzdHJhdGl2byslMkYrQStMb2dpc3RpY2ErSnVuaW9yJmppcGlkPTc=?source=indeed&jk=27f6b9846c385b5e&jlt=dDoxMCxwOjEsczoyNSxvOjIx
Recepcionista Soho House Barcelona,Soho House & Co,"Barcelona, Barcelona provincia, Spain",15 days ago,,http://www.jobsinbarcelona.es/jobs/remote/aHR0cDovL3d3dy5pbmRlZWQuZXMvcGFnZWFkL2Nsaz9tbz1yJmFkPS02TllsYmZrTjBBdzFlZkFNemxkRHpwb0lKdDNkaC1XczQzUzMwZHJYUTZqRlFxa0lpc191NlJ2Z0tHRUZyNkdFUjhqRVZ6WWJHRElFSkxRODFwMDVVRTlnN2k1aF94YjNSRmh0ejVFa242T1ZZZERZc3M2b3dWd3RwZDBaN3B5aXROQVp2VGZPQlZraG1wUWQyQTF2QTlJM0d1S0tsRXRuNUp2YndTMnZvRllvZ3UtTHlyQlhfNVZ5VVpIVzN5TWhoUnQ3TG5EZFVSZDhUUHdGSkpXY2VkVDdzUHM0ZEpPTzNOM3RXT1paX3VheXNGVklxMUZiSFpnZ3VZeElPdnktUGotTFdaWmY4MHBCOThDZ3hoQlFYdzAwclZ5Q3c4QlUwYlhObXR4SVpTZndhTjNpaFYxdk1ySTBldzY4TWlnOURHcXM5VnZTVTlGZE1VU01tMnlwN1RBaVdPNWxuRUQxVjVHQlMtNkdHbDdNLUdIUUlsZ2s4T2JXRUl6bXN2SE9LLUk3Z1FyYTNuMEdVbkxfc3BLb3JCc0VfSDV4eWI1Zk8wMG9QcUc2N1Z2SXZCaklvTzZKWnd0R1JmN0hVWnF6bjhZNFYzNGhOekJrY0k2dUFtT2ZJTjhfM0pnQkdIWUpjXzlaZ1ZlRHVKX0JmNmdwNkQ5NzlJaUpFcFltYTVpUTdHVDdjSVliQjVGaFg4S3RCQkUtaVlITkFFbDV3SGt1eXlaT2hJeko4Ui00eEd1Q25WcF83UkQ2TFpWd1BLUEpncktaeUs2UmtkMUV0Z2N0Nzc2UGRLRHVUVlZQSDVwRXM2ODJKTE41RUJzbk4xYWoxWmFQT2JMSXQxMnU3OVZEbTJ3WDg5SUw5cUhGVHptdkM1SlNYNlk1TGNrdjN1MmNGTXpYOW1MNWxSNkVRVldPV3oybnU5MmFaWnQzcmR5WXZUSjA0cUpiZ2c1cUh4azFtQmRLZExwQ1ZyTG9sQjBNamtxZmhZdVBQWjJsVnhaRTFiUjg4UGtWN2lsMU1jUEIzUXR3Z3phR0lFZXB2cjZqVkRGWDdjYUw0UFNSanlXWkYxZ2VhZS1FX0MyVTVWMFQzZTdQSmZVaHlSTVhtMGJSUVFyc29LUzltV2NKcWp4eGI4MnZwLU9wY2d3YmZJTGZ1bGxqOVctRkhnT1o4QlNXS05UV3lPMVMyNjh2QnlSOTVMZ3dGamViWDZ5OWpVaFlIMmF0dz09JnA9MSZyanM9MSZhdGs9MWNyZGg1MjhjMGwyczAwMSZqc2E9NzAwNCZpbmNoYWw9YXBpcmVzdWx0cyZ0aXRsZT1SZWNlcGNpb25pc3RhK1NvaG8rSG91c2UrQmFyY2Vsb25hJmppcGlkPTc=?source=indeed&jk=6eb9d53b1e1d8164&jlt=dDoxMCxwOjEsczoyNSxvOjIy
Becaria/o Departamento de Reservas de agencia de alquiler...,Hausik S.L.,"Barcelona, Barcelona provincia, Spain",10 days ago,,http://www.jobsinbarcelona.es/jobs/remote/aHR0cDovL3d3dy5pbmRlZWQuZXMvcGFnZWFkL2Nsaz9tbz1yJmFkPS02TllsYmZrTjBBdzFlZkFNemxkRHpwb0lKdDNkaC1XczQzUzMwZHJYUTZqRlFxa0lpc191NlJ2Z0tHRUZyNkdFUjhqRVZ6WWJHRGhDVmM2WXJaNko3a21xQjlDUnJReGtQUl9ITXZrNmJ5bDVJSFVrZmw1TnJqeFgwYlg2QnpRYTVmM1BybFpGeV9MbGNmQmM5MVVKQTFueXFtOHhnSTR3V2JXcnBtNnU5ZnlrRndpeTluRUVMY0dFTVE3a1ZGWHdYT0RpbngwM2pXOU90cW91Ty10UFRBQVZuWS1tN2hWNlZvb3FJZWRQQm02aVIxQXh6c3NEQUJEN0tkbzF6dmxhWG1KUzM1RGJxRUxXRkR0M1AwbkppUkJRN19ybU1qZDhnTmVKcWdHeXhLUU93eHZveEVWbzVEOEhjV1lzVjRMMGFKLXl3WTg5ZGhZc1lUSnJHb2ZYRE1rTDZseGViS1JYUmQybmkwMjZDUlk2TTBNT0pFempPZjhsM2hWSTRob2JjNV9wcTFSMGdkdjdyODdWVzB1SDZmVnB2aVFWdW9mVXdHOW5GeFlXS2cyejlkaGxKNkw1NmVzcUQ2eERHX0N6ZU9ncm80ZEU3V1lMVWxtN0Y0U2J2dGtKUHhOSGlJOWRWT21aREsyX2VMdkRNbnk2QmhfSDRFMC1HQ3JWLVZOaWtsc3BIMkdCZHZZVE14dHh0ZDJWVTQ4RlQydHFiRUl1RVl6VDNFUzJoRWhXN0RoWXVtMVJMMVQyMHhIZDlMb0FieEw2MWNtd2hHbWk3Uy1oUHpualJLSnBfZUM5TlVUVThBcVpNMU55WE5kdVhKSEx5MkpmQ0N5c1RVcXRhZVFkRDdHdjdTOVlrNnVsakYtekZNY1EyUzlLTDlielB0dFhDNjZtbVgtVEtYbTRZX2Myd0NTYk85RXNzTU9vaHNmbDhJVVB3VFZZQU9fR0RvdExyRGViOGwwNzhmYVNMWUV4YWFvU2FLMjhUbVNNVmpWd0pIdENRMTBJYzI2ZW1nczlCNXN5X0NEZHEzaFhfdUtkSEJZWl9UbmdiRTBRbWRhNm9iNFBqd2xJeTBmNkVzdjZMNEp4bDNfQWxQdUNoVTdpZDNlNHZmUlYtUXM0QkRzQmx0NEpqUmN5c0VBQW44TW8xWjlPcVZqRFNUR29mTlp1NllSMlBSelIwUTIxdk1kY2pTc211UEQ5eGRxUWJFZFZOYnVkdz09JnA9MiZyanM9MSZhdGs9MWNyZGg1MjhjMGwyczAwMSZqc2E9NzAwNCZpbmNoYWw9YXBpcmVzdWx0cyZ0aXRsZT1CZWNhcmlhJTJGbytEZXBhcnRhbWVudG8rZGUrUmVzZXJ2YXMrZGUrYWdlbmNpYStkZSthbHF1aWxlcit0dXIlQzMlQURzdGljbyZqaXBpZD03?source=indeed&jk=a18e78baef37d229&jlt=dDoxMCxwOjEsczoyNSxvOjIz
Agente de Reservas Soho House Barcelona,Soho House & Co,"Barcelona, Barcelona provincia, Spain",26 days ago,,http://www.jobsinbarcelona.es/jobs/remote/aHR0cDovL3d3dy5pbmRlZWQuZXMvcGFnZWFkL2Nsaz9tbz1yJmFkPS02TllsYmZrTjBBdzFlZkFNemxkRHpwb0lKdDNkaC1XczQzUzMwZHJYUTZqRlFxa0lpc191NlJ2Z0tHRUZyNkdFUjhqRVZ6WWJHQVQzVDJxaVQwRnp3a0xmV01zdHYxT2Z5SEJZNjZaZmt4ZC15WFFYd2VUaVJJaXBhWGRMZnVBT2VTVDVXb1Q3SE4xVXdhQVpWd3lneTlrOFI4UjV4cWZnRWladjRjZzkwOUlZRWxiajhkR1pIZks2S0ZwU2lyWngtQ0lxSEloZmhLZTBPUFNpcnhJblFFN2k5ZnB2N3JyWFA5dVQ0bUlYREpqRVNINTlhRFJpck5nSmplV1ZHcmVDM0t6WExxS1dmYkhXOFJGWlNOSzFIeGw0YlpNQ01UWjBxMkUtMm96Y0FFVkduOXEweVh0bzBZNHlsYV80eVRUTFhVUUZ2Y2U4dnBrUU81TnNJMkZIdFFmRTM5a0V6aGJnYXlMWTN5OG1EWU9JV3R0TzZnRjU1QUl4YUwxWE81c0RJTkZRaDhLZ0ZJeklfdURMcHE0bEFnRkk5ell3bFhybjNRNC0ycmRkSHN5b3FNdWMtVnJZbkNuTGxQYW9QMC12Y05qa3JDdkRZeXpmaVUtWVEyc0hBVkFUQnczekRRZnRUd29wYUdSNmNyc0w4elpEZllKS29jQWg1OHM4Tk52UEhJelhNNk1LelJoelNXdktvWkJEUXVPSHVTQVB4Z0t3WVJSQl9ITGUzN2lXNmZPM19ZS1Z4OFk5U2ZKSlVPRXJRRzB0N2x3N1hrMlBFN2l6cnpRalVBMkNuNWpRVHktWTh2VzRQb2JKZm9XcG1kWjZoM1ZwNnJqM0I4ZVUtN3ZrcDhzVnNiUVpoLVRqcTFad3IyUzM0ZnhwRkppTk9jTU8wV0tib3ZrbVByQU95MFFnN3FEaFowV0J2S2xhV0RpY3V3V04tcEJYOVVISkJkRzdDNm80TG9GZzFxUnNSRC1JNVh3TjVJLS1pa05NajlEZXM3MEtjU1Vvc0hDYXc4YUxLS0xkazJ4MEdhaTA0T1dxb19jZTZtb3VDY2p1ZkNxZFJZWVZRcks5eElITG9vdDZRcEhGYjExZ291Tlk4cVZWcEZ0cFZlRENReHh0b055MkJQeWttZG5NNFlqZ2lZcGRXUVNvU0hNSlJrUkhuNDNKT0JCSzdySXlvSUpPeDg1SUswQTJFSjc5VC1PbFZ5RVlvVXR1Zz09JnA9MyZyanM9MSZhdGs9MWNyZGg1MjhjMGwyczAwMSZqc2E9NzAwNCZpbmNoYWw9YXBpcmVzdWx0cyZ0aXRsZT1BZ2VudGUrZGUrUmVzZXJ2YXMrU29obytIb3VzZStCYXJjZWxvbmEmamlwaWQ9Nw==?source=indeed&jk=c89348a96f45333d&jlt=dDoxMCxwOjEsczoyNSxvOjI0
Business Development Manager,RateHawk.com,"Barcelona, Barcelona provincia, Spain",23 days ago,,http://www.jobsinbarcelona.es/jobs/remote/aHR0cDovL3d3dy5pbmRlZWQuZXMvcGFnZWFkL2Nsaz9tbz1yJmFkPS02TllsYmZrTjBBdzFlZkFNemxkRHpwb0lKdDNkaC1XczQzUzMwZHJYUTZqRlFxa0lpc191NlJ2Z0tHRUZyNkdFUjhqRVZ6WWJHRHd0S3RWVl94T2xESjA3X0ZpNUZTb20xdDBCUUZyb2ZzeExFNTZ0WjFHUkdDU0t3RE1LYnM0cnZQakl1RmdZX2xKY092Xy1hT1U4V0xpWDA1ZlNzUVN6elEwM3NqUEh6emhselh3Z2Jac3RvTmhMeXBhQTBVWkFPYk8yMXlYdGtDa2pfUDhNUkhWLXhHSEt6aEhOUmY4V2FRcmFnYlNSblB1RE5mSVVSTHhNS3JCTmZCVEduaXQzS0ZVU01VV2lSOUR2VENCd0VxQTl4dHV4Y2VGRWhlZjFBdDdQV2hSWHlSUUpReHFvN29tSTc5SEhROVNaMUhTM3FKT0U5THVnZW9ZdkZQOUZIeTlUMG9MVVFXM1NFSzl6YnlaS3Jsc0xOLVNxN3pya29DendrSzNCQXpEazRHTHFxN295RHpFQzYzUTRlUFo2d1V5Y3NRaHQwT1BiSDVjaEdtbUd1OWxuNmlHQjd4X09HQW9JbWtJVW9kak9mOFd4NWJibkFZeW5GbUtWSWVoYW9MSjhuSlo3QVV1UTNCeDl0RXEtQnI1eU8zeWx0Tl90X1Zibk5BT1NjYWpVdWhHZUxYWVRMbFhfSzZsdEN6bkhCRWo1NjJOYmRQUVV3U0M3RFFGZmFMWHlUbFVMVzhDYW9abHEzNzJtTlJNX1lORWRUNE9QNUFiLS0tWGxKZElpT29hamhFdmY1NHZaaWVONUFJNmRUWGV2YmZCekF0RUJjZWZwV2FNdzZ6dDZiY1hZR1JJdEpsbUdUWENqbWJHNWxCWEtlLTBaY3FKb0Y2THJhcW5tbF8tSFpJOXdua3hMeHZCQVUyN0w0N1ZzN2Nhc1pCTjhuYkxaMEdLblpDeEtISlE2ZXRueFpZOFBzbGRsd1g3VTR2bnlnQ2hiSG5nOHVHU01VSHpBQXk4c2pHSk5heF9jejMtd3NTMG5fWGxkR0VTcVV1NzY2dHI0eWZCcWZUeTQxMlplcExWUzlHTTBTc0dqd0dzOFZBeVFMbEVNYUhWN0JjWWV5V0ozblBBS0NlM1ZiV2txc2llVm5CMFJZRmFkakdqeTF5WDNtVzFBcDJoWlg2WHRYRk1xUE5RcUVoTVJtWmpVWVVEenEyN3JTN0NqMVg1cFcwLXBneksmcD00JnJqcz0xJmF0az0xY3JkaDUyOGMwbDJzMDAxJmpzYT03MDA0JmluY2hhbD1hcGlyZXN1bHRzJnRpdGxlPUJ1c2luZXNzK0RldmVsb3BtZW50K01hbmFnZXImamlwaWQ9Nw==?source=indeed&jk=cba104c0edba4af6&jlt=dDoxMCxwOjEsczoyNSxvOjI1
Data Engineer,XING SE,Spain Not Specified,1 day ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/data-engineer/V7mnGzbZ?jlt=dDoxMCxwOjIsczoyNSxvOjM
Senior Product Designer (m/f),XING SE,Spain Not Specified,1 day ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/senior-product-designer-m-f/vkKmA30v?jlt=dDoxMCxwOjIsczoyNSxvOjQ
Product Manager,XING SE,Spain Not Specified,1 day ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/product-manager/Yb72xwJV?jlt=dDoxMCxwOjIsczoyNSxvOjU
Senior Software Engineer BACKEND (m/f),XING SE,Spain Not Specified,1 day ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/senior-software-engineer-backend-m-f/YlK2We8Z?jlt=dDoxMCxwOjIsczoyNSxvOjY
Software Engineer - Backend (m/f),XING SE,Spain Not Specified,1 day ago,Source Jobg8,http://www.jobsinbarcelona.es/jobs/software-engineer-backend-m-f/YRJG0d9Y?jlt=dDoxMCxwOjIsczoyNSxvOjc
